"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Justice Hill","BAL","65.7","304.2","2.0","13.1","98.2","0.2","1.1","64.1"
"Ty Johnson","BUF","45.5","195.2","1.4","15.1","144.4","0.5","0.3","59.7"
"Trey Sermon","IND","76.1","326.6","2.0","8.6","58.7","0.2","0.3","59.6"
"Tank Bigsby","JAC","92.3","300.3","3.8","7.0","47.5","0.3","3.3","59.4"
"Jaylen Wright","MIA","51.2","224.5","1.5","12.6","90.0","0.5","0.3","55.3"
"Dameon Pierce","HOU","74.2","259.4","1.9","9.8","71.8","0.1","0.2","54.8"
"Ameer Abdullah","LV","35.4","162.9","0.3","19.4","142.9","0.3","0.1","53.6"
"Kyle Juszczyk","SF","5.9","20.4","0.1","20.3","194.2","1.5","0.0","51.6"
"Ray Davis","BUF","60.3","255.4","1.7","7.4","58.7","0.3","0.2","50.5"
"D'Ernest Johnson","JAC","54.4","240.9","1.3","8.9","62.5","0.2","0.2","47.8"
"Nyheim Hines","CLE","28.9","102.3","0.9","15.3","116.0","0.4","0.1","44.4"
"Emari Demercado","ARI","36.1","154.7","1.3","12.5","76.2","0.1","0.0","43.4"
"AJ Dillon","GB","49.4","193.7","1.3","8.5","64.1","0.3","0.2","43.3"
"Andrew Beck","HOU","4.5","9.9","1.1","13.7","123.1","2.1","1.5","43.0"
"Deuce Vaughn","DAL","43.1","159.4","0.9","11.6","87.4","0.3","0.6","42.5"
"Jeremy McNichols","WAS","28.0","114.0","0.0","13.0","116.0","1.0","0.0","42.0"
"Audric Estime","DEN","46.4","194.2","1.1","6.5","56.1","0.6","0.5","40.6"
"Trayveon Williams","CIN","38.5","167.5","1.3","9.2","59.3","0.3","0.2","40.6"
"Michael Carter","ARI","35.4","158.4","1.0","10.7","67.0","0.2","0.1","40.2"
"Eric Gray","NYG","38.3","162.4","1.1","8.9","59.2","0.3","0.2","39.4"
"Chris Rodriguez Jr.","WAS","26.9","117.0","0.8","12.1","86.0","0.4","0.2","39.1"
"Evan Hull","IND","26.8","113.9","0.8","11.4","80.1","0.4","0.2","37.8"
"Will Shipley","PHI","35.5","151.1","1.4","5.0","40.0","0.2","0.1","33.4"
"Julius Chestnut","TEN","27.2","114.1","0.8","8.6","60.5","0.3","0.2","32.2"
"Kenny McIntosh","SEA","27.4","114.4","0.8","8.3","58.0","0.3","0.2","32.1"
