"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"DJ Chark Jr.","LAC","36.0","558.0","8.0","0.0","0.0","0.0","1.0","137.8"
"Josh Downs","IND","56.4","651.5","2.7","0.0","0.0","0.0","0.2","137.4"
"Adonai Mitchell","IND","47.2","687.7","3.6","1.0","5.5","0.0","1.1","135.9"
"Odell Beckham Jr.","MIA","46.0","675.0","4.0","0.0","2.0","0.0","1.0","135.7"
"Xavier Legette","CAR","48.3","650.7","3.3","4.2","24.6","0.2","1.2","134.2"
"Marvin Mims Jr.","DEN","48.4","644.1","2.7","7.7","44.4","0.3","0.6","134.0"
"Jahan Dotson","WAS","48.9","574.3","4.4","0.0","0.0","0.0","0.2","132.2"
"Quentin Johnston","LAC","46.9","600.4","3.9","2.6","10.7","0.0","0.3","131.1"
"Michael Wilson","ARI","46.4","602.6","3.9","0.0","0.0","0.0","0.3","129.4"
"Jermaine Burton","CIN","46.8","609.3","3.8","1.0","3.5","0.0","0.6","129.4"
"Rashod Bateman","BAL","46.3","615.3","3.3","0.5","7.0","0.0","0.2","128.1"
"Darius Slayton","NYG","40.7","602.4","3.5","0.0","0.0","0.0","0.2","121.4"
"Zay Jones","ARI","47.2","554.9","3.2","0.0","0.0","0.0","0.4","121.1"
"Jalen Tolbert","DAL","43.2","573.0","3.5","0.0","0.0","0.0","0.5","120.4"
"Ja'Lynn Polk","NE","47.0","582.6","2.4","1.0","4.5","0.0","0.7","118.8"
"Rondale Moore","ATL","42.5","443.7","2.8","16.7","93.8","0.7","0.3","116.6"
"Elijah Moore","CLE","44.7","547.1","2.8","6.1","19.9","0.1","1.2","116.3"
"Tim Patrick","DEN","37.1","490.2","4.5","0.0","0.0","0.0","0.1","113.1"
"Dontayvion Wicks","GB","36.9","502.9","4.5","0.5","0.5","0.0","0.7","112.5"
"Robert Woods","HOU","43.0","483.0","3.0","2.0","11.0","0.0","0.0","110.4"
"Noah Brown","HOU","34.7","559.1","2.8","0.5","0.0","0.0","0.1","107.3"
"Roman Wilson","PIT","40.1","531.6","2.5","1.0","5.5","0.0","1.1","106.4"
"Malachi Corley","NYJ","39.0","467.6","2.4","5.4","31.4","0.2","0.6","103.3"
"Marquez Callaway","PIT","36.0","470.0","3.0","0.0","0.0","0.0","0.0","101.0"
"Brandon Johnson","DEN","27.0","374.0","6.0","0.0","0.0","0.0","0.0","100.4"
