"Player","Team","REC","YDS","TDS","FL","FPTS"
"Cole Fotheringham","LV","10.0","100.0","1.0","0.0","26.0"
"Eric Saubert","SF","10.0","99.0","1.0","0.0","25.9"
"Charlie Kolar","BAL","9.0","104.0","1.0","0.0","25.4"
"Drew Ogletree","IND","10.1","107.3","0.8","0.1","25.3"
"Jaheim Bell","NE","10.0","91.0","1.0","0.0","25.1"
"Peyton Hendershot","DAL","9.6","98.7","0.9","0.0","24.8"
"John Bates","WAS","9.8","89.7","0.6","0.0","22.3"
"Lucas Krull","DEN","8.1","90.8","0.8","0.0","21.7"
"Jared Wiley","KC","8.5","84.1","0.7","0.0","21.0"
"Erick All Jr.","CIN","8.6","82.8","0.7","0.0","20.8"
"Cameron Latu","SF","7.6","87.9","0.7","0.0","20.6"
"Irv Smith Jr.","KC","8.0","72.0","0.9","0.1","20.4"
"Charlie Woerner","ATL","8.1","78.8","0.7","0.1","19.9"
"Ko Kieft","TB","7.5","76.0","0.6","0.1","18.7"
"C.J. Uzomah","PHI","7.7","69.1","0.6","0.0","17.8"
"Giovanni Ricci","CLE","7.2","71.7","0.5","0.1","17.5"
"Tip Reiman","ARI","7.6","74.7","0.4","0.1","17.4"
"Chris Manhertz","NYG","5.8","54.2","0.3","0.0","13.1"
"Hunter Long","LAR","5.2","54.2","0.4","0.0","12.7"
"Jody Fortson Jr.","MIA","3.7","37.0","0.4","0.0","9.5"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
""
""
